kabupaten,tahun,produktivitas,komoditas
PANGANDARAN,2021,407.52,Ubi Kayu
BOGOR,2021,297.06,Ubi Kayu
SUKABUMI,2021,303.01,Ubi Kayu
BANDUNG,2021,322.76,Ubi Kayu
CIREBON,2021,335.09,Ubi Kayu
BEKASI,2021,319.89,Ubi Kayu
DEPOK,2021,256.52,Ubi Kayu
CIMAHI,2021,290.77,Ubi Kayu
TASIKMALAYA,2021,309.03,Ubi Kayu
BANJAR,2021,319.06,Ubi Kayu
BOGOR,2022,395.07,Ubi Kayu
SUKABUMI,2022,295.41,Ubi Kayu
CIANJUR,2022,281.68,Ubi Kayu
BANDUNG,2022,296.76,Ubi Kayu
GARUT,2022,276.56,Ubi Kayu
TASIKMALAYA,2022,269.18,Ubi Kayu
CIAMIS,2022,383.75,Ubi Kayu
KUNINGAN,2022,332.48,Ubi Kayu
CIREBON,2022,321.4,Ubi Kayu
MAJALENGKA,2022,320.76,Ubi Kayu
SUMEDANG,2022,316.88,Ubi Kayu
INDRAMAYU,2022,317.72,Ubi Kayu
SUBANG,2022,504.45,Ubi Kayu
PURWAKARTA,2022,337.62,Ubi Kayu
KARAWANG,2022,315.56,Ubi Kayu
BEKASI,2022,323.73,Ubi Kayu
BANDUNG BARAT,2022,375.59,Ubi Kayu
PANGANDARAN,2022,318.18,Ubi Kayu
BOGOR,2022,288.02,Ubi Kayu
SUKABUMI,2022,324.87,Ubi Kayu
BANDUNG,2022,318.46,Ubi Kayu
CIREBON,2022,323.73,Ubi Kayu
BEKASI,2022,322.34,Ubi Kayu
DEPOK,2022,321.05,Ubi Kayu
CIMAHI,2022,298.09,Ubi Kayu
TASIKMALAYA,2022,320.04,Ubi Kayu
BANJAR,2022,302.72,Ubi Kayu
