kabupaten_kota,latitude,longitude
Kabupaten Kendal,-6.91969,110.2056
Kabupaten Batang,-6.906159,109.72984
Kabupaten Pekalongan,-7.02676,109.5805
Kabupaten Pemalang,-6.88423,109.378
Kabupaten Tegal,-6.98277,109.135513
Kabupaten Brebes,-6.88333,109.03947
Kota Magelang,-7.47884,110.21993
Kota Surakarta,-7.56667,110.81667
Kota Salatiga,-7.30233,110.4729
Kota Semarang,-6.98439,110.41286
Kota Pekalongan,-6.88981,109.67141
Kota Tegal,-6.8796,109.12685
Kabupaten Kulon Progo,-7.82668,110.16408
Kabupaten Bantul,-7.88461,110.33411
Kabupaten Gunung Kidul,-8.03051,110.61689
Kabupaten Sleman,-7.71616,110.3354
Kota Yogyakarta,-7.79722,110.3688
Kabupaten Pacitan,-8.20461,111.08769
Kabupaten Ponorogo,-7.86783,111.466
Kabupaten Trenggalek,-8.07705,111.71667
Kabupaten Tulungagung,-8.06667,111.96328
Kabupaten Blitar,-8.11921,112.20187
Kabupaten Kediri,-7.77407,112.10822
Kabupaten Malang,-8.13084,112.56496
Kabupaten Lumajang,-8.13702,113.2266
Kabupaten Jember,-8.17236,113.7003
Kabupaten Banyuwangi,-8.21861,114.36694
Kabupaten Bondowoso,-7.9177,113.81348
Kabupaten Situbondo,-7.70253,113.95561
Kabupaten Probolinggo,-7.76208,113.41848
Kabupaten Pasuruan,-7.60411,112.77633
Kabupaten Sidoarjo,-7.45303,112.71734
Kabupaten Mojokerto,-7.50421,112.5432
Kabupaten Jombang,-7.54684,112.22648
Kabupaten Nganjuk,-7.60293,111.90181
Kabupaten Madiun,-7.62775,111.50548
Kabupaten Magetan,-7.64934,111.33816
Kabupaten Ngawi,-7.38993,111.46193
Kabupaten Bojonegoro,-7.15353,111.88523
Kabupaten Tuban,-6.89481,112.04184
Kabupaten Lamongan,-7.11826,112.41307
Kabupaten Gresik,-7.15665,112.6555
Kabupaten Bangkalan,-7.03069,112.74501
Kabupaten Sampang,-7.19119,113.24707
Kabupaten Pamekasan,-7.16667,113.46667
Kabupaten Sumenep,-6.9254,113.90606
Kota Kediri,-7.84829,112.01875
Kota Blitar,-8.0955,112.15942
Kota Malang,-7.96674,112.63178
Kota Probolinggo,-7.77707,113.19804
Kota Pasuruan,-7.64752,112.89839
Kota Mojokerto,-7.47108,112.43992
Kota Madiun,-7.63023,111.52805
Kota Surabaya,-7.28917,112.7344
Kota Batu,-7.8671,112.5239
Kabupaten Pandeglang,-6.31483,106.1039
Kabupaten Lebak,-6.5644,106.25221
Kabupaten Tangerang,-6.16727,106.53228
Kabupaten Serang,-6.04308,106.11578
Kota Tangerang,-6.17634,106.63012
Kota Cilegon,-6.01698,106.04051
Kota Serang,-6.11731,106.15438
Kota Tangerang Selatan,-6.28621,106.71105
