,kabupaten,tahun,temperature,temp_max,temp_min,rainfall,humidity,wind_speed,solar_radiation
20,ACEH BARAT DAYA,2024,25.95789617486339,27.25724043715847,24.857896174863388,3163.49,82.74043715846994,1.6839344262295084,18.601475409836066
21,ACEH BARAT DAYA,2025,25.52827397260274,26.942547945205483,24.36345205479452,2640.04,81.37353424657535,1.7075616438356165,18.33323287671233
22,ACEH BESAR,2015,26.95295890410959,28.85613698630137,25.450739726027397,1854.21,79.15835616438356,2.8025753424657536,18.038246575342466
23,ACEH BESAR,2016,27.077540983606553,29.00079234972678,25.588251366120218,2428.26,80.1631693989071,3.736612021857923,17.855792349726777
24,ACEH BESAR,2017,26.87912328767123,28.88564383561644,25.335506849315067,2488.3,79.19383561643835,3.294739726027397,17.86071232876712
25,ACEH BESAR,2018,26.81906849315068,28.644876712328767,25.374082191780825,2547.06,79.80945205479452,3.090602739726027,18.18271232876712
26,ACEH BESAR,2019,27.193753424657533,29.15901369863014,25.654054794520547,1922.68,79.27358904109589,3.0436986301369866,18.470904109589043
27,ACEH BESAR,2020,26.968579234972676,28.974562841530055,25.40877049180328,2652.4900000000002,79.43491803278688,3.1879781420765028,17.766994535519128
28,ACEH BESAR,2021,26.762739726027398,28.672438356164385,25.244684931506846,3163.62,79.8321095890411,3.2490136986301374,18.069068493150684
29,ACEH BESAR,2022,26.780547945205477,28.660493150684932,25.28745205479452,2892.92,79.78358904109588,3.2478630136986304,17.581561643835617
30,ACEH BESAR,2023,27.301260273972602,29.24482191780822,25.752109589041098,2423.38,79.58564383561644,3.1606301369863012,18.029205479452056
31,ACEH BESAR,2024,27.65718579234973,29.576448087431693,26.13882513661202,1947.87,79.50909836065574,3.0892622950819675,18.35360655737705
32,ACEH BESAR,2025,27.114438356164385,29.085041095890414,25.593095890410957,2517.32,80.2342191780822,3.7636164383561646,17.79758904109589
33,ACEH JAYA,2015,27.624383561643835,28.736712328767123,26.548164383561645,2316.95,79.42347945205479,2.413835616438356,18.82690410958904
34,ACEH JAYA,2016,27.677349726775955,28.745983606557377,26.655054644808743,2909.5,80.80404371584699,2.6706284153005466,17.947978142076504
35,ACEH JAYA,2017,27.500082191780823,28.594356164383562,26.454027397260273,2623.35,79.6594794520548,2.5895890410958904,18.628383561643833
36,ACEH JAYA,2018,27.49221917808219,28.498,26.520986301369863,2832.74,80.34545205479452,2.583041095890411,18.62131506849315
37,ACEH JAYA,2019,27.832438356164385,28.92454794520548,26.79482191780822,2204.44,79.74060273972603,2.4204657534246574,19.294383561643834
38,ACEH JAYA,2020,27.771584699453552,28.93051912568306,26.65587431693989,3035.79,78.87448087431694,2.4203005464480873,18.523060109289617
39,ACEH JAYA,2021,27.568027397260273,28.67317808219178,26.508301369863016,2402.34,78.94558904109589,2.430054794520548,18.463890410958903
40,ACEH JAYA,2022,27.457753424657533,28.500849315068493,26.439260273972604,2944.89,79.98504109589041,2.5923835616438358,17.810767123287672
41,ACEH JAYA,2023,27.835260273972604,28.89046575342466,26.824712328767124,2540.82,80.43531506849315,2.529616438356164,18.508438356164383
