kabupaten,tahun,produktivitas,komoditas,temperature,temp_max,temp_min,rainfall,humidity,wind_speed,solar_radiation
INDRAMAYU,2015,68.43,Jagung,26.63454794520548,30.148,23.750301369863017,2078.12,78.68602739726028,2.6235342465753426,18.840849315068493
SUBANG,2015,45.75,Jagung,25.40328767123288,29.61545205479452,21.946027397260277,2163.33,81.39356164383562,1.818082191780822,18.590794520547945
PURWAKARTA,2015,54.26,Jagung,25.40328767123288,29.61545205479452,21.946027397260277,2163.33,81.39356164383562,1.818082191780822,18.590794520547945
KARAWANG,2015,53.64,Jagung,25.40328767123288,29.61545205479452,21.946027397260277,2163.33,81.39356164383562,1.818082191780822,18.590794520547945
BEKASI,2015,60.0,Jagung,26.09571232876712,29.536465753424658,23.27068493150685,4046.75,81.69901369863014,1.9718630136986304,18.21490410958904
BANDUNG BARAT,2015,44.37,Jagung,21.39553424657534,26.023561643835617,17.8353698630137,2602.41,86.70380821917809,1.4161917808219178,18.590794520547945
PANGANDARAN,2015,34.26,Jagung,25.066794520547944,29.10180821917808,22.1433698630137,1937.35,86.39580821917808,1.767890410958904,18.406027397260274
DEPOK,2015,0.0,Jagung,24.824246575342467,29.196575342465756,21.26060273972603,2104.7,83.25235616438356,1.4021917808219178,17.839013698630136
CIMAHI,2015,0.0,Jagung,21.39553424657534,26.023561643835617,17.8353698630137,2602.41,86.70380821917809,1.4161917808219178,18.590794520547945
BANJAR,2015,50.48,Jagung,25.92835616438356,30.351876712328767,22.755958904109587,4333.16,83.72732876712328,1.317205479452055,18.309986301369864
BOGOR,2016,60.07,Jagung,25.02185792349727,28.48150273224044,22.357677595628417,6164.36,87.28330601092895,1.3480601092896174,16.41
SUKABUMI,2016,65.95,Jagung,24.200983606557376,27.5529781420765,21.693879781420765,8063.44,88.92789617486339,1.4217486338797816,17.14431693989071
CIANJUR,2016,77.56,Jagung,24.200983606557376,27.5529781420765,21.693879781420765,4031.72,88.92789617486339,1.4217486338797816,17.005819672131146
BANDUNG,2016,77.6,Jagung,21.89210382513661,25.4748087431694,19.16527322404372,8524.46,90.09002732240435,1.2933606557377049,17.123551912568306
GARUT,2016,89.58,Jagung,23.22789617486339,26.83948087431694,20.49622950819672,3544.63,89.04218579234973,1.2138524590163935,17.241284153005466
TASIKMALAYA,2016,67.82,Jagung,24.50792349726776,27.629453551912565,22.23068306010929,11854.52,89.65524590163935,1.7104644808743168,17.107814207650275
CIAMIS,2016,86.02,Jagung,24.50792349726776,27.629453551912565,22.23068306010929,5927.26,89.65524590163935,1.7104644808743168,17.107814207650275
KUNINGAN,2016,76.42,Jagung,25.374699453551912,28.77396174863388,22.760409836065573,3230.96,87.44863387978143,1.3540983606557375,17.256311475409838
CIREBON,2016,79.29,Jagung,26.796639344262296,28.916775956284155,25.07498633879781,6422.75,83.48751366120219,2.096010928961749,17.256311475409838
MAJALENGKA,2016,84.99,Jagung,23.22789617486339,26.83948087431694,20.49622950819672,3544.63,89.04218579234973,1.2138524590163935,17.256311475409838
SUMEDANG,2016,80.53,Jagung,25.87357923497268,28.920273224043715,23.474699453551917,4635.58,91.764043715847,0.1069125683060109,17.82344262295082
INDRAMAYU,2016,77.66,Jagung,26.838360655737706,29.43502732240437,24.74737704918033,3137.81,83.50081967213114,1.8898907103825136,17.256311475409838
SUBANG,2016,51.53,Jagung,25.655245901639343,28.876721311475407,23.14191256830601,3115.62,85.74587431693989,1.5395355191256832,17.005819672131146
PURWAKARTA,2016,67.76,Jagung,25.655245901639343,28.876721311475407,23.14191256830601,3115.62,85.74587431693989,1.5395355191256832,17.005819672131146
KARAWANG,2016,85.44,Jagung,25.655245901639343,28.876721311475407,23.14191256830601,3115.62,85.74587431693989,1.5395355191256832,17.005819672131146
BEKASI,2016,68.33,Jagung,26.34282786885246,29.050874316939893,24.20699453551913,5900.47,84.86184426229508,1.740792349726776,16.707909836065575
BANDUNG BARAT,2016,77.16,Jagung,21.89210382513661,25.4748087431694,19.16527322404372,4262.23,90.09002732240435,1.2933606557377049,17.005819672131146
PANGANDARAN,2016,66.91,Jagung,25.853879781420765,29.112377049180324,23.408715846994536,4108.33,88.11046448087431,1.4465027322404371,17.107814207650275
DEPOK,2016,50.0,Jagung,25.02185792349727,28.48150273224044,22.357677595628417,3082.18,87.28330601092895,1.3480601092896174,16.41
CIMAHI,2016,50.0,Jagung,21.89210382513661,25.4748087431694,19.16527322404372,4262.23,90.09002732240435,1.2933606557377049,17.005819672131146
BANJAR,2016,51.43,Jagung,26.476571038251365,30.14520491803279,23.803920765027325,7101.61,86.24613387978142,1.0562568306010929,17.52360655737705
BOGOR,2017,51.0,Jagung,24.70709589041096,28.51501369863013,21.70268493150685,5349.04,86.25087671232876,1.4484109589041094,17.01427397260274
SUKABUMI,2017,66.7,Jagung,23.738438356164384,27.57780821917808,20.87254794520548,6241.1,88.19750684931508,1.7454246575342467,17.685616438356163
